NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Bénesse-Maremne;France;Benesse-Maremne;43,62760706;-1,3702935; 
Bénestroff;France;Benestroff;48,90621742;6,75063244; 
Benet;France;Benet;46,37365733;-0,58217443; 
Benfeld;France;Benfeld;48,37379613;7,58437438; 
Bengy-sur-Craon;France;Bengy-sur-Craon;47,00008776;2,74969558; 
Béning-lès-Saint-Avold;France;Bening-les-Saint-Avold;49,13819959;6,82858043; 
Benquet;France;Benquet;43,80274128;-0,552538; 
Bergerac;France;Bergerac;44,85680143;0,49035153;
Bergues;France;Bergues;50,96846098;2,42575596; 
Berlaimont;France;Berlaimont;50,19767886;3,81061027; 
Bernac-Debat;France;Bernac-Debat;43,16994878;0,10268935; 
Bernac-Dessus;France;Bernac-Dessus;43,1590019;0,10402312; 
Bernay;France;Bernay;49,08698855;0,595728;OUI
Berre-l'Étang;France;Berre-l'Etang;43,50101218;5,17875004; 
Bersac-sur-Rivalier;France;Bersac-sur-Rivalier;46,08384304;1,43204821; 
Berthelming;France;Berthelming;48,8108366;7,00654347; 
Bertholène;France;Bertholene;44,39709529;2,76716121; 
Bertrichamps;France;Bertrichamps;48,42854557;6,79121796; 
Bertry;France;Bertry;50,09098645;3,4489463; 
Besançon Viotte;France;Besancon;47,24710034;6,0213741;
Franche-Comté TGV (à 16km de Besançon);France;Besançon Franche-Comté TGV;47,2412;6,0256;OUI
Besné;France;Besne;47,40293514;-2,09545814; 
Bessancourt;France;Bessancourt;49,03546092;2,21027232; 
Bessay-sur-Allier;France;Bessay-sur-Allier;46,4429321;3,36057356; 
Bessèges;France;Besseges;44,29680259;4,09279476; 
Bétaille;France;Betaille;44,94253247;1,73452938; 
Béthune;France;Bethune;50,52070387;2,64163214;OUI
Betton;France;Betton;48,18174943;-1,63412871; 
Beuvrages;France;Beuvrages;50,38958693;3,50657516; 
Beuvry;France;Beuvry;50,5358124;2,69169498; 
Beuxes;France;Beuxes;47,09461244;0,17677051; 
Beynes;France;Beynes;48,85964436;1,8757487; 
Beynost;France;Beynost;45,83384681;5,00679656; 
Beyrède-Jumet;France;Beyrede-Jumet;42,95729871;0,37585336; 
Béziers;France;Beziers;43,33622529;3,21921804;OUI
Biache-Saint-Vaast;France;Biache-Saint-Vaast;50,31663127;2,94200394; 
Biarritz;France;Biarritz;43,45921565;-1,54549384;OUI
Bidarray;France;Bidarray;43,26809733;-1,34514117; 
Bièvres;France;Bievres;48,75121158;2,21573784; 
Biffontaine;France;Biffontaine;48,20607517;6,80759564; 
Billy-Montigny;France;Billy-Montigny;50,41531393;2,91166597; 
Biot;France;Biot;43,61138725;7,12666931; 
Bischheim;France;Bischheim;48,61125815;7,74125285; 
Bischoffsheim;France;Bischoffsheim;48,48679078;7,49780125; 
Bischwiller;France;Bischwiller;48,76542544;7,85118911; 
Bitche;France;Bitche;49,04842371;7,4325731; 
Bitschwiller-lès-Thann;France;Bitschwiller-les-Thann;47,82815024;7,07817249; 
Blagny;France;Blagny;49,61963698;5,18969212; 
Blainville-sur-l'Eau;France;Blainville-sur-l'Eau;48,56457697;6,38710088; 
Blaisy-Bas;France;Blaisy-Bas;47,37325402;4,74137162; 
Blangy-sur-Bresle;France;Blangy-sur-Bresle;49,93301023;1,62481631; 
Blangy-sur-Ternoise;France;Blangy-sur-Ternoise;50,42351257;2,16972862; 
Blanquefort;France;Blanquefort;44,91767046;-0,62354952; 
Blanzay;France;Blanzay;46,22688066;0,23590266; 
Blanzy;France;Blanzy;46,69400896;4,39225039; 
Bléré;France;Blere;47,3380936;0,98631193; 
Blois;France;Blois;47,58553886;1,32352621;
Blonville-sur-Mer;France;Blonville-sur-Mer;49,33122959;0,03535023; 
Bloye;France;Bloye;45,82421986;5,95361897; 
Boé;France;Boe;44,16527492;0,61035557; 
Boën;France;Boen;45,74159431;4,00442988; 
Bogny-sur-Meuse;France;Bogny-sur-Meuse;49,8584582;4,76333729; 
Bohain-en-Vermandois;France;Bohain-en-Vermandois;49,98859043;3,44261951; 
Boigneville;France;Boigneville;48,34162206;2,37873824; 
Bois-le-Roi;France;Bois-le-Roi;48,47558482;2,69194665; 
Boisleux-au-Mont;France;Boisleux-au-Mont;50,21063879;2,77109967; 
Boisseaux;France;Boisseaux;48,25646871;1,97294875; 
Boisset;France;Boisset;44,78695093;2,25030887; 
Boissise-le-Roi;France;Boissise-le-Roi;48,52909135;2,57381352; 
Boissy-l'Aillerie;France;Boissy-l'Aillerie;49,07593365;2,02450754; 
Boissy-le-Châtel;France;Boissy-le-Chatel;48,81426835;3,15190362; 
Bolbec;France;Bolbec;49,59169716;0,48491239; 
Bollene la Croisiere;France;Bollene la Croisiere;44,27150703;4,70806576; 
Bollwiller;France;Bollwiller;47,85672587;7,26733758; 
Bologne;France;Bologne;48,19859806;5,13424017; 
Bolquère;France;Bolquere;42,49751253;2,08907732; 
Bondy;France;Bondy;48,89424668;2,47863869; 
Bonnemain;France;Bonnemain;48,47708783;-1,76586419; 
